date,subscription_id,resource_id,cost,currency
2026-07-27,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-07-27,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-07-27,sub-prod-001,prod-appgw-01,30.00,CHF
2026-07-27,sub-prod-001,prod-sql-01,120.00,CHF
2026-07-27,sub-prod-001,prod-storage-01,20.00,CHF
2026-07-27,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-07-27,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-07-27,sub-nonprod-001,test-sql-01,15.00,CHF
2026-07-28,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-07-28,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-07-28,sub-prod-001,prod-appgw-01,30.00,CHF
2026-07-28,sub-prod-001,prod-sql-01,120.00,CHF
2026-07-28,sub-prod-001,prod-storage-01,20.00,CHF
2026-07-28,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-07-28,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-07-28,sub-nonprod-001,test-sql-01,15.00,CHF
2026-07-29,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-07-29,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-07-29,sub-prod-001,prod-appgw-01,30.00,CHF
2026-07-29,sub-prod-001,prod-sql-01,120.00,CHF
2026-07-29,sub-prod-001,prod-storage-01,20.00,CHF
2026-07-29,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-07-29,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-07-29,sub-nonprod-001,test-sql-01,15.00,CHF
2026-07-30,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-07-30,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-07-30,sub-prod-001,prod-appgw-01,30.00,CHF
2026-07-30,sub-prod-001,prod-sql-01,120.00,CHF
2026-07-30,sub-prod-001,prod-storage-01,20.00,CHF
2026-07-30,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-07-30,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-07-30,sub-nonprod-001,test-sql-01,15.00,CHF
2026-07-31,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-07-31,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-07-31,sub-prod-001,prod-appgw-01,30.00,CHF
2026-07-31,sub-prod-001,prod-sql-01,120.00,CHF
2026-07-31,sub-prod-001,prod-storage-01,20.00,CHF
2026-07-31,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-07-31,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-07-31,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-01,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-01,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-01,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-01,sub-prod-001,prod-sql-01,120.00,CHF
2026-08-01,sub-prod-001,prod-storage-01,20.00,CHF
2026-08-01,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-01,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-01,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-02,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-02,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-02,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-02,sub-prod-001,prod-sql-01,120.00,CHF
2026-08-02,sub-prod-001,prod-storage-01,20.00,CHF
2026-08-02,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-02,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-02,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-03,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-03,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-03,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-03,sub-prod-001,prod-sql-01,120.00,CHF
2026-08-03,sub-prod-001,prod-storage-01,20.00,CHF
2026-08-03,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-03,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-03,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-04,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-04,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-04,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-04,sub-prod-001,prod-sql-01,120.00,CHF
2026-08-04,sub-prod-001,prod-storage-01,20.00,CHF
2026-08-04,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-04,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-04,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-05,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-05,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-05,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-05,sub-prod-001,prod-sql-01,120.00,CHF
2026-08-05,sub-prod-001,prod-storage-01,20.00,CHF
2026-08-05,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-05,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-05,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-06,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-06,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-06,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-06,sub-prod-001,prod-sql-01,120.00,CHF
2026-08-06,sub-prod-001,prod-storage-01,20.00,CHF
2026-08-06,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-06,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-06,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-07,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-07,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-07,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-07,sub-prod-001,prod-sql-01,120.00,CHF
2026-08-07,sub-prod-001,prod-storage-01,20.00,CHF
2026-08-07,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-07,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-07,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-08,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-08,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-08,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-08,sub-prod-001,prod-sql-01,120.00,CHF
2026-08-08,sub-prod-001,prod-storage-01,20.00,CHF
2026-08-08,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-08,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-08,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-09,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-09,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-09,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-09,sub-prod-001,prod-sql-01,120.00,CHF
2026-08-09,sub-prod-001,prod-storage-01,20.00,CHF
2026-08-09,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-09,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-09,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-10,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-10,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-10,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-10,sub-prod-001,prod-sql-01,240.00,CHF
2026-08-10,sub-prod-001,prod-storage-01,26.00,CHF
2026-08-10,sub-prod-001,prod-vm-web-01,40.00,CHF
2026-08-10,sub-prod-001,prod-vm-web-02,45.00,CHF
2026-08-10,sub-nonprod-001,test-sql-01,15.00,CHF
2026-08-11,sub-nonprod-001,dev-storage-01,5.00,CHF
2026-08-11,sub-nonprod-001,dev-vm-build-01,25.00,CHF
2026-08-11,sub-prod-001,prod-appgw-01,30.00,CHF
2026-08-11,sub-prod-001,prod-sql-01,240.00,CHF
2026-08-11,sub-prod-001,prod-storage-01,26.00,CHF
